ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Category
MukuniMarch-16_eyebrow-1,,MukuniMarch,16_eyebrow,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Mukuni-16_eyebrow-1,,Mukuni,16_eyebrow,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Sekute2013-16_eyebrow-1,,Sekute2013,16_eyebrow,chikoye,chikoye,tʃʰ i k o y e,,Sawka2019,,,^ ch i k o y e $,default,Body Part
Sekute-16_eyebrow-1,,Sekute,16_eyebrow,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Musukotwani-16_eyebrow-1,,Musukotwani,16_eyebrow,chikoye,chikoye,tʃʰ i k o y e,,Sawka2019,,,^ ch i k o y e $,default,Body Part
Ila-16_eyebrow-1,,Ila,16_eyebrow,Inkowe,Inkowe,I/i ŋ k o w e,,Sawka2019,,,^ I nk o w e $,default,Body Part
Lozi-16_eyebrow-1,,Lozi,16_eyebrow,nobyo,nobyo,n o b y o,,Sawka2019,,,^ n o b y o $,default,Body Part
Chewa-16_eyebrow-1,,Chewa,16_eyebrow,nsiye,nsiye,n s i y e,,Sawka2019,,,^ ns i y e $,default,Body Part
Nkoya1-16_eyebrow-1,,Nkoya1,16_eyebrow,nkhokola,nkhokola,ŋ k h o k o l a,,Sawka2019,,,^ nk h o k o l a $,default,Body Part
Nkoya2-16_eyebrow-1,,Nkoya2,16_eyebrow,nchiye,nchiye,ⁿtʃʰ i y e,,Sawka2019,,,^ nch i y e $,default,Body Part
Tonga-17_eyelash-1,,Tonga,17_eyelash,cikoye,cikoye,c/tʃ i k o y e,,Sawka2019,,,^ c i k o y e $,default,Body Part
MukuniMarch-17_eyelash-1,,MukuniMarch,17_eyelash,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Mukuni-17_eyelash-1,,Mukuni,17_eyelash,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Sekute2013-17_eyelash-1,,Sekute2013,17_eyelash,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Sekute-17_eyelash-1,,Sekute,17_eyelash,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Musukotwani-17_eyelash-1,,Musukotwani,17_eyelash,inkoye,inkoye,i ŋ k o y e,,Sawka2019,,,^ i nk o y e $,default,Body Part
Ila-17_eyelash-1,,Ila,17_eyelash,cikowe,cikowe,c/tʃ i k o w e,,Sawka2019,,,^ c i k o w e $,default,Body Part
Lozi-17_eyelash-1,,Lozi,17_eyelash,nsi,nsi,n s i,,Sawka2019,,,^ ns i $,default,Body Part
Chewa-17_eyelash-1,,Chewa,17_eyelash,nsiye,nsiye,n s i y e,,Sawka2019,,,^ ns i y e $,default,Body Part
Nkoya1-17_eyelash-1,,Nkoya1,17_eyelash,bikuku,bikuku,b i k u k u,,Sawka2019,,,^ b i k u k u $,default,Body Part
Nkoya2-17_eyelash-1,,Nkoya2,17_eyelash,mkhopio,mkhopio,m kʰ o p i o,,Sawka2019,,,^ m kh o p i o $,default,Body Part
Tonga-18_finger-1,,Tonga,18_finger,munwe,munwe,m u nʷ e,,Sawka2019,,,^ m u nw e $,default,Body Part
MukuniMarch-18_finger-1,,MukuniMarch,18_finger,munwe,munwe,m u nʷ e,,Sawka2019,,,^ m u nw e $,default,Body Part
Mukuni-18_finger-1,,Mukuni,18_finger,kanwe,kanwe,k a nʷ e,,Sawka2019,,,^ k a nw e $,default,Body Part
Sekute2013-18_finger-1,,Sekute2013,18_finger,munwe,munwe,m u nʷ e,,Sawka2019,,,^ m u nw e $,default,Body Part
Sekute-18_finger-1,,Sekute,18_finger,munwe,munwe,m u nʷ e,,Sawka2019,,,^ m u nw e $,default,Body Part
